num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
2,Internet,RoundTrip,42,20,12,,HKTOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,7,163,2,5.0,CMBSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,2,27,2,,KTMMFM,Macau,1,0,0,4.75,0
1,Internet,RoundTrip,133,23,12,,MELPEK,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,276,3,22,4.0,PEKSBW,Indonesia,0,1,0,6.42,1
2,Internet,RoundTrip,79,6,8,6.0,CGKDEL,Indonesia,1,1,1,5.52,0
1,Internet,RoundTrip,4,28,6,,HGHKCH,China,0,0,0,5.07,1
4,Internet,RoundTrip,204,6,14,,BKIPEK,Malaysia,1,1,0,6.42,0
2,Internet,RoundTrip,7,185,7,,CGKKIX,Indonesia,1,0,0,7.0,1
2,Internet,RoundTrip,140,51,2,6.0,COKSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,89,17,6,5.0,OOLPNH,Australia,0,1,1,8.83,0
1,Mobile,RoundTrip,196,4,7,6.0,PENPVG,China,1,1,1,5.33,1
1,Internet,RoundTrip,4,37,17,,KTMSIN,Singapore,0,0,0,4.75,0
2,Mobile,RoundTrip,172,5,3,,PVGSIN,China,1,0,1,5.33,0
1,Internet,RoundTrip,71,27,23,4.0,SYDTRZ,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,285,19,18,6.0,MFMSYD,Macau,1,1,0,8.58,0
1,Internet,RoundTrip,9,3,19,,PERSGN,Australia,1,1,0,5.62,0
2,Internet,RoundTrip,87,28,1,4.0,SBWTPE,Malaysia,1,0,0,4.67,0
2,Internet,RoundTrip,217,6,5,,DMKSYD,Thailand,0,0,1,8.58,1
2,Mobile,RoundTrip,14,17,7,6.0,RGNSYD,Myanmar (Burma),1,1,1,8.58,0
2,Internet,RoundTrip,325,28,5,5.0,SGNSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,25,166,17,6.0,MAATPE,Taiwan,1,0,0,4.67,0
1,Internet,RoundTrip,37,5,15,,KIXPER,Taiwan,0,0,0,7.0,0
1,Internet,RoundTrip,72,30,7,3.0,COKSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,81,22,9,6.0,HKGMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,12,31,2,7.0,KCHMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,23,58,9,4.0,CGKKIX,Indonesia,1,0,0,7.0,0
1,Internet,RoundTrip,4,6,4,6.0,BKIKIX,Japan,1,1,1,7.0,0
1,Internet,RoundTrip,16,19,9,4.0,PERVTZ,Australia,1,0,0,5.62,0
3,Internet,RoundTrip,178,36,9,3.0,COKSYD,Australia,0,0,1,8.58,0
1,Mobile,RoundTrip,148,5,10,4.0,CGKICN,Indonesia,1,0,0,6.62,0
1,Internet,RoundTrip,19,25,12,3.0,AKLKUL,Malaysia,1,0,0,8.83,1
1,Internet,RoundTrip,60,22,11,,MELPVG,China,1,0,0,8.83,0
3,Internet,RoundTrip,101,33,17,7.0,MAAMEL,Indonesia,1,1,1,8.83,0
1,Internet,RoundTrip,42,4,2,6.0,HGHTGG,Malaysia,1,1,1,5.07,0
1,Mobile,RoundTrip,2,29,3,7.0,AKLKUL,Philippines,1,0,0,8.83,0
1,Mobile,RoundTrip,16,6,14,7.0,CGKKIX,Indonesia,0,0,0,7.0,1
1,Internet,RoundTrip,34,5,3,5.0,BDOPVG,Indonesia,1,0,0,5.33,1
2,Internet,RoundTrip,110,4,7,5.0,DMKKIX,Thailand,1,0,0,7.0,1
1,Mobile,RoundTrip,28,6,3,,DMKPER,Australia,0,1,0,5.62,0
1,Internet,RoundTrip,102,5,8,6.0,KIXLGK,Japan,0,0,0,7.0,0
2,Internet,RoundTrip,137,6,13,5.0,AKLKUL,Singapore,1,0,0,8.83,0
1,Internet,RoundTrip,42,18,9,,KCHMEL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,40,4,3,6.0,PENTPE,Malaysia,1,0,0,4.67,0
1,Internet,RoundTrip,194,21,2,6.0,ICNMAA,South Korea,0,0,1,6.62,0
4,Internet,RoundTrip,359,6,5,,DPSICN,South Korea,1,1,0,6.62,0
2,Internet,RoundTrip,53,3,11,,ICNSIN,South Korea,0,0,1,6.62,0
2,Internet,RoundTrip,82,25,6,,KTMMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,127,4,23,7.0,BKISYD,Malaysia,0,0,0,8.58,0
1,Internet,RoundTrip,25,3,11,,MYYSYD,United Kingdom,0,0,0,8.58,0
1,Mobile,RoundTrip,63,57,8,,AKLKUL,New Zealand,0,0,0,8.83,0
7,Internet,RoundTrip,49,6,9,6.0,CTUDPS,China,1,0,1,4.72,1
1,Internet,RoundTrip,6,2,4,6.0,SYDTRZ,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,6,6,10,7.0,PENPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,34,5,10,4.0,OOLSIN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,129,24,14,,HGHPER,Australia,1,0,0,5.62,0
3,Internet,RoundTrip,146,5,15,3.0,CKGTWU,China,0,0,0,4.83,0
1,Mobile,RoundTrip,94,64,9,7.0,AKLKUL,Malaysia,1,1,0,8.83,0
4,Internet,OneWay,109,26,4,7.0,PEKSYD,China,1,0,1,8.58,0
2,Internet,RoundTrip,26,5,17,6.0,CGKSYD,India,0,0,0,8.58,0
1,Internet,RoundTrip,25,3,8,,ICNSYD,South Korea,0,0,0,8.58,0
1,Internet,RoundTrip,3,5,9,,DMKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,12,20,11,6.0,KBVOOL,Australia,0,1,0,8.83,0
1,Internet,RoundTrip,55,87,11,,MELTRZ,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,24,6,12,3.0,HKTPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,24,3,5,,SYDTPE,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,11,4,12,6.0,DELPER,India,0,0,0,5.62,0
1,Internet,RoundTrip,59,22,16,6.0,CMBOOL,Sri Lanka,1,1,1,8.83,0
1,Internet,RoundTrip,20,5,2,5.0,CNXTPE,Thailand,0,0,0,4.67,0
4,Internet,RoundTrip,115,3,17,,DPSICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,3,29,11,,CTUJHB,Singapore,1,0,0,4.72,1
1,Internet,RoundTrip,89,4,11,5.0,MELTPE,Taiwan,0,1,1,8.83,0
1,Internet,RoundTrip,72,25,6,,SGNSYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,256,27,2,,HNDMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,7,3,3,5.0,HNDMEL,Japan,0,0,1,8.83,1
3,Internet,RoundTrip,12,37,5,,HNDTRZ,Japan,1,1,1,7.57,0
1,Internet,RoundTrip,314,21,8,7.0,OOLPEN,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,81,63,23,,COKOOL,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,162,3,13,3.0,PERTPE,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,131,6,12,,ICNPEN,Malaysia,1,1,0,6.62,1
1,Internet,RoundTrip,360,5,17,4.0,DPSPVG,China,0,1,0,5.33,0
2,Mobile,RoundTrip,236,4,3,6.0,DPSTPE,Taiwan,1,0,0,4.67,0
3,Mobile,RoundTrip,75,5,3,6.0,PEKREP,China,0,0,0,6.42,0
1,Internet,RoundTrip,30,3,4,,PEKSIN,United States,0,0,1,6.42,0
1,Internet,RoundTrip,52,24,11,6.0,CMBMEL,Australia,1,1,1,8.83,0
2,Mobile,RoundTrip,19,3,14,7.0,DMKICN,Thailand,1,1,1,6.62,0
1,Internet,RoundTrip,3,2,22,7.0,BDOKIX,Indonesia,1,0,1,7.0,1
1,Internet,RoundTrip,208,4,10,,DPSICN,South Korea,0,1,0,6.62,0
3,Internet,RoundTrip,56,6,11,4.0,LGKPVG,China,1,1,1,5.33,0
2,Internet,RoundTrip,212,22,1,,CNXOOL,Australia,0,0,0,8.83,0
3,Internet,RoundTrip,213,5,7,,PENPVG,Malaysia,0,0,0,5.33,0
2,Internet,RoundTrip,0,3,11,5.0,OOLTGG,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,226,18,8,,MELSGN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,60,32,12,,COKMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,110,24,10,,COKSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,79,25,2,5.0,DPSHND,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,43,34,2,6.0,HKGMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,102,6,11,3.0,MELSGN,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,29,5,2,,KNOSYD,Australia,1,0,0,8.58,0
1,Mobile,RoundTrip,25,21,13,4.0,MELTPE,Taiwan,1,0,0,8.83,0
3,Internet,RoundTrip,47,6,12,7.0,HKTPEK,China,1,0,0,6.42,0
1,Internet,OneWay,33,125,5,6.0,CRKSYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,168,32,4,,MELSGN,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,112,88,5,3.0,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,27,24,4,7.0,CMBPER,Australia,1,1,1,5.62,1
1,Internet,RoundTrip,10,5,7,,TGGTPE,Malaysia,1,0,0,4.67,0
1,Internet,RoundTrip,88,20,14,7.0,ICNSYD,South Korea,0,0,0,8.58,0
1,Internet,RoundTrip,35,5,6,4.0,CTULGK,Japan,1,0,0,4.72,0
2,Internet,RoundTrip,346,6,6,7.0,DPSPEK,China,1,0,1,6.42,0
3,Internet,RoundTrip,44,4,13,,HNDSIN,Japan,1,1,0,7.57,0
2,Mobile,RoundTrip,74,3,7,,PENTPE,Taiwan,1,0,1,4.67,0
1,Internet,RoundTrip,40,31,19,7.0,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,117,17,5,7.0,OOLRGN,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,65,6,5,5.0,HKTPUS,South Korea,1,0,0,6.33,0
1,Internet,RoundTrip,30,30,15,5.0,BWNCKG,Brunei,1,1,1,4.83,0
1,Internet,RoundTrip,14,4,13,3.0,KIXPNH,Cambodia,1,0,0,7.0,1
3,Internet,RoundTrip,20,176,10,6.0,HYDSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,90,89,9,4.0,JHBMEL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,74,21,4,4.0,MELPEN,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,3,31,5,,KTMMFM,Macau,1,0,0,4.75,0
1,Internet,RoundTrip,11,20,17,5.0,MYYPUS,South Korea,1,1,0,6.33,1
2,Internet,RoundTrip,56,4,7,5.0,ICNSIN,South Korea,1,0,0,6.62,0
2,Internet,RoundTrip,156,21,11,4.0,HKTPER,Australia,0,1,0,5.62,0
2,Internet,RoundTrip,7,114,0,3.0,COKPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,130,5,7,4.0,CEBMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,45,6,10,,DMKSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,13,29,3,4.0,IKAPER,Australia,1,1,1,8.15,0
1,Internet,RoundTrip,62,33,6,3.0,BKIPUS,Malaysia,1,0,1,6.33,1
1,Internet,RoundTrip,22,70,14,6.0,OOLSGN,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,42,18,11,3.0,JOGOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,172,17,9,5.0,AKLKUL,Ireland,0,0,1,8.83,0
1,Internet,RoundTrip,6,6,21,4.0,CGKPER,France,0,0,0,5.62,0
2,Internet,RoundTrip,87,19,8,7.0,DELDPS,Indonesia,0,0,0,5.52,0
1,Internet,RoundTrip,26,18,8,,AKLTPE,Taiwan,1,0,1,4.67,0
4,Internet,RoundTrip,141,35,10,,COKMEL,Australia,1,0,1,8.83,0
2,Mobile,RoundTrip,397,4,12,,ICNKBV,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,5,22,10,6.0,HGHOOL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,10,355,5,4.0,HYDOOL,India,1,1,1,8.83,1
2,Internet,RoundTrip,133,6,9,,OOLTPE,India,0,0,0,8.83,0
1,Internet,RoundTrip,400,4,12,3.0,CTSDMK,Thailand,0,0,0,8.67,0
1,Internet,RoundTrip,314,26,9,3.0,PNHSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,125,6,23,6.0,DPSPVG,China,1,0,0,5.33,1
1,Internet,RoundTrip,54,6,6,,MLEPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,15,3,16,4.0,HKTICN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,48,17,2,5.0,CMBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,14,275,3,3.0,AKLKUL,Singapore,1,0,1,8.83,1
1,Internet,RoundTrip,132,25,14,4.0,MELVTZ,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,76,18,15,7.0,MELSGN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,85,3,13,5.0,KNOTPE,Taiwan,0,0,0,4.67,0
3,Internet,RoundTrip,70,5,23,4.0,ICNSYD,South Korea,0,0,0,8.58,0
2,Internet,RoundTrip,2,28,9,3.0,DPSXIY,China,0,0,0,5.0,0
1,Internet,RoundTrip,9,3,8,4.0,PERVTZ,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,41,5,2,6.0,ICNKCH,Malaysia,1,0,0,6.62,1
1,Internet,RoundTrip,325,3,11,7.0,KIXSGN,Japan,1,1,1,7.0,0
2,Internet,RoundTrip,24,24,11,,CGKDEL,India,1,0,0,5.52,0
1,Mobile,RoundTrip,11,115,9,,SGNSYD,Vietnam,1,0,1,8.58,1
3,Internet,RoundTrip,210,4,13,4.0,KIXLGK,Japan,1,0,1,7.0,0
1,Internet,RoundTrip,44,4,12,,DMKKIX,Thailand,1,1,0,7.0,0
2,Internet,RoundTrip,49,21,15,4.0,CCUMEL,India,1,1,1,8.83,0
2,Internet,RoundTrip,41,6,14,5.0,DMKHND,Thailand,1,0,0,7.57,0
1,Mobile,RoundTrip,103,21,2,6.0,DPSHND,Japan,1,0,1,7.57,0
2,Internet,RoundTrip,6,35,14,3.0,HNDPEN,Japan,1,1,0,7.57,0
1,Internet,RoundTrip,44,18,5,,DACMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,12,6,1,5.0,CNXMEL,Australia,0,1,0,8.83,0
1,Internet,RoundTrip,71,4,4,,DPSKIX,Japan,1,0,0,7.0,1
1,Internet,RoundTrip,54,23,19,4.0,DMKOOL,Australia,1,1,0,8.83,1
2,Internet,RoundTrip,48,183,10,4.0,SYDTRZ,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,22,29,0,6.0,KNOPEK,China,1,0,0,6.42,1
1,Internet,RoundTrip,19,24,10,,COKMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,108,26,3,,DMKSYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,11,37,1,4.0,KTMPEN,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,67,18,4,4.0,BLRSYD,India,1,1,1,8.58,0
1,Internet,RoundTrip,0,22,5,5.0,MELTRZ,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,35,92,7,6.0,JHBKTM,Malaysia,1,0,1,4.75,0
1,Mobile,RoundTrip,16,5,18,,PEKSIN,Singapore,0,0,0,6.42,0
1,Internet,RoundTrip,28,24,3,,CEBMEL,Philippines,1,0,0,8.83,0
1,Mobile,RoundTrip,23,4,5,,DMKOOL,Australia,0,1,0,8.83,0
1,Internet,RoundTrip,255,5,3,3.0,HGHLGK,China,0,0,0,5.07,0
1,Internet,RoundTrip,65,58,3,3.0,ICNPEN,South Korea,1,0,1,6.62,0
1,Mobile,RoundTrip,16,5,23,7.0,PERUTP,Australia,0,1,0,5.62,0
2,Internet,RoundTrip,26,4,11,5.0,CGKICN,Indonesia,1,0,1,6.62,0
3,Internet,RoundTrip,233,29,8,3.0,AKLKUL,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,28,2,2,5.0,AKLKUL,Malaysia,1,0,1,8.83,1
1,Mobile,RoundTrip,55,21,4,,CGKPEK,Indonesia,1,1,0,6.42,0
1,Internet,RoundTrip,21,61,6,3.0,COKICN,South Korea,0,0,1,6.62,0
1,Internet,RoundTrip,27,4,13,3.0,COKMEL,Canada,1,1,0,8.83,0
2,Internet,RoundTrip,52,28,2,6.0,HNDSUB,Japan,1,1,1,7.57,0
1,Internet,RoundTrip,49,67,8,,KCHPER,Malaysia,1,1,0,5.62,0
1,Internet,RoundTrip,207,41,5,4.0,CMBMEL,Australia,1,0,0,8.83,0
3,Internet,RoundTrip,228,24,10,,BLRSYD,Indonesia,1,0,1,8.58,0
2,Internet,RoundTrip,67,164,5,,MRUOOL,New Caledonia,0,0,0,8.83,0
2,Internet,RoundTrip,186,88,17,5.0,MAAMEL,India,1,0,1,8.83,0
6,Internet,RoundTrip,170,6,15,6.0,PENSYD,Malaysia,1,1,1,8.58,0
1,Internet,RoundTrip,90,17,8,,BKISYD,New Zealand,1,0,1,8.58,0
1,Internet,RoundTrip,26,99,4,3.0,DACSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,182,19,2,3.0,CMBMEL,Australia,1,1,1,8.83,0
2,Mobile,RoundTrip,57,5,7,,DELDPS,India,1,0,1,5.52,0
1,Internet,RoundTrip,383,17,23,7.0,CCUSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,17,3,6,4.0,KCHOOL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,2,5,4,5.0,PERSGN,Australia,1,0,0,5.62,0
3,Internet,RoundTrip,18,18,10,4.0,DELKNO,Indonesia,1,1,1,5.52,0
2,Mobile,RoundTrip,19,34,12,,MELMRU,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,1,43,2,5.0,KTMMFM,China,1,0,0,4.75,0
2,Internet,RoundTrip,354,3,17,7.0,DMKKIX,Thailand,1,1,1,7.0,0
1,Internet,OneWay,13,5,12,3.0,ICNSIN,Singapore,1,0,1,6.62,0
3,Internet,RoundTrip,51,6,12,,DMKPUS,South Korea,1,0,0,6.33,0
1,Internet,RoundTrip,50,6,16,5.0,DELPER,United Kingdom,0,1,1,5.62,0
4,Internet,RoundTrip,24,6,10,3.0,KIXPEN,Malaysia,1,1,0,7.0,1
1,Internet,RoundTrip,97,3,9,4.0,OOLPEN,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,54,6,15,,DMKHND,Malaysia,0,0,1,7.57,0
2,Internet,RoundTrip,21,6,10,3.0,CTUDPS,China,0,0,0,4.72,0
1,Internet,RoundTrip,57,6,13,7.0,MELPVG,China,0,0,0,8.83,0
2,Internet,RoundTrip,33,47,5,,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,7,28,10,7.0,DACOOL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,168,41,23,,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,312,5,13,4.0,KIXSIN,Japan,1,1,0,7.0,0
1,Internet,RoundTrip,85,120,8,4.0,PENPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,27,23,13,3.0,ICNPER,Australia,0,0,0,6.62,0
1,Internet,OneWay,302,17,9,,KIXSYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,239,6,8,,LGKMEL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,95,27,17,,CEBMEL,Australia,1,0,0,8.83,1
1,Internet,RoundTrip,210,90,15,7.0,BWNPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,0,33,8,5.0,PERSGN,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,90,19,11,7.0,MELSGN,Australia,0,1,1,8.83,0
1,Internet,RoundTrip,67,21,7,7.0,PERPNH,Australia,1,0,0,5.62,0
2,Internet,RoundTrip,87,6,14,4.0,DPSICN,South Korea,1,1,1,6.62,0
2,Internet,RoundTrip,282,18,3,5.0,SGNSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,31,5,14,,HYDPER,India,1,1,0,5.62,0
1,Internet,RoundTrip,11,5,23,5.0,CGKMEL,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,219,6,11,7.0,MELPEN,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,103,4,12,4.0,KIXRGN,Japan,1,0,0,7.0,0
1,Internet,RoundTrip,9,5,6,,HANMEL,Colombia,0,0,0,8.83,0
1,Internet,OneWay,46,17,7,5.0,HNDMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,1,5,23,7.0,DPSMEL,Indonesia,0,0,0,8.83,0
2,Internet,RoundTrip,160,28,1,5.0,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,30,17,7,7.0,HKTSYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,3,6,11,5.0,DELKNO,India,1,0,0,5.52,0
2,Internet,RoundTrip,34,6,4,4.0,KBVPVG,China,1,0,0,5.33,0
1,Mobile,RoundTrip,170,19,12,4.0,MAASYD,Australia,0,1,0,8.58,0
1,Internet,RoundTrip,4,57,7,3.0,JHBKTM,Malaysia,1,0,0,4.75,0
3,Internet,RoundTrip,77,20,13,6.0,CANMEL,China,1,1,1,8.83,0
2,Internet,RoundTrip,45,6,1,5.0,MRUPEK,China,0,0,1,7.42,0
1,Mobile,RoundTrip,48,6,3,7.0,MLETPE,Taiwan,1,1,1,4.67,0
2,Internet,RoundTrip,71,6,14,,HKTPER,Australia,1,1,0,5.62,0
1,Internet,RoundTrip,223,19,12,4.0,KLOMEL,Australia,1,1,1,8.83,1
1,Internet,OneWay,45,90,2,5.0,CRKOOL,United States,1,0,1,8.83,1
1,Internet,RoundTrip,66,85,10,,SGNSYD,Vietnam,1,0,0,8.58,1
1,Mobile,RoundTrip,36,4,6,,PENTPE,Malaysia,0,0,0,4.67,0
1,Internet,RoundTrip,55,41,6,5.0,CGKPUS,South Korea,1,0,0,6.33,0
1,Internet,RoundTrip,77,5,11,,HKGMEL,Hong Kong,0,0,0,8.83,0
4,Internet,RoundTrip,39,40,3,7.0,COKPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,108,5,8,3.0,DMKKIX,Thailand,1,0,0,7.0,1
1,Internet,RoundTrip,38,5,12,7.0,DMKHND,Japan,0,1,0,7.57,0
2,Internet,RoundTrip,6,49,4,5.0,KTMPEN,Malaysia,1,0,0,4.75,0
3,Internet,RoundTrip,207,35,13,5.0,CANPER,Australia,1,0,1,5.62,0
7,Internet,RoundTrip,100,6,8,,DPSTPE,Taiwan,1,0,1,4.67,0
2,Internet,RoundTrip,260,6,16,7.0,HNDPEN,Malaysia,1,0,1,7.57,1
2,Internet,RoundTrip,189,5,10,6.0,PENSYD,Malaysia,1,1,1,8.58,1
1,Internet,RoundTrip,29,3,23,6.0,ICNPEN,South Korea,1,0,0,6.62,1
1,Internet,RoundTrip,387,5,2,,DMKKIX,Thailand,0,0,0,7.0,0
2,Mobile,RoundTrip,26,4,11,6.0,CTSPEN,Malaysia,1,1,1,8.67,1
2,Internet,RoundTrip,187,31,11,,DELMEL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,29,4,2,,KLOSYD,Australia,0,0,0,8.58,0
